0,Willis,Connie,1945,NULL
1,Christie,Agatha,1890,1976
2,Morrison,Toni,1931,NULL
3,Lewis,Sinclair,1885,NULL
4,Austen,Jane,1775,1817
5,Gaiman,Neil,1960,NULL
6,Pratchett,Terry,1948,2015
7,Brontë,Charlotte,1816,1855
8,Wodehouse,Pelham Grenville,1881,1975
9,Márquez,Gabriel García,1927,2014
10,Lewis,Sinclair,1885,1951
11,Rushdie,Salman,1947,NULL
12,Bujold,Lois McMaster,1949,NULL
13,Melville,Herman,1819,1891
14,Brontë,Ann,1820,1849
15,Brontë,Emily,1818,1848
16,Murakami,Haruki,1949,NULL
17,Cather,Willa,1873,1947
18,Alderman,Naomi,1974,NULL
19,DuMaurier,Daphne,1907,1989
20,Jemisen,N.K.,1972,NULL
21,Jerome,Jerome K.,1859,1927
22,Eliot,George,1819,1880
23,Dickens,Charles,1812,1870
24,Carré,John Le,1931,NULL
